patnum,assignee,pgpub_id,assignee_cleaned,cik,company_name,Cleaned_company_name,Score,Score
5768993,"Bryce International, L.L.C.",,bryceinternational,1395710,"BA INTERNATIONAL, L.L.C.",bainternational,90.19607843137256,90.19607843137256
5768993,"Bryce International, L.L.C.",,bryceinternational,1395710,"BA International, L.L.C.",bainternational,90.19607843137256,90.19607843137256
5258585,"BBI INVESTORS, INC.",,bbiinvestors,1227934,BA INVESTORS INC,bainvestors,85.71428571428572,85.71428571428572
5358720,"BIO NUTRITION, LLC",,bionutrition,1512796,"BA Nutrition, LLC",banutrition,91.42857142857143,91.42857142857143
4961133,"BEA SYSTEMS, INC.",,beasystems,1319260,BA Systems Inc,basystems,90.32258064516128,90.32258064516128
4961133,"BEA SYSTEMS, INC.",,beasystems,1319260,BA SYSTEMS INC,basystems,90.32258064516128,90.32258064516128
5090991,Bayer Akatiengesellschaft,,bayerakatiengesellschaft,1542629,Baader Bank Aktiengesellschaft,baaderbank,87.27272727272728,87.27272727272728
3600748,BASF Corp,,basf,1514156,Baas Corp,baas,88.88888888888889,88.88888888888889
4674529,"BBK HOLDINGS, INC.",,bbk,946713,BAB HOLDINGS INC,bab,88.23529411764706,88.23529411764706
3181974,BARB Inc,,barb,1123596,BAB INC,bab,93.33333333333333,93.33333333333333
4726578,"BBH, INC.",,bbh,1123596,"BAB, INC.",bab,88.88888888888889,88.88888888888889
5556540,"B&B INTERNATIONAL, INC.",,bbinternational,1139504,BABB INTERNATIONAL INC,babbinternational,88.88888888888889,88.88888888888889
4899482,"Barbco, Inc.",,barbco,1528039,"BabbaCo, Inc.",babbaco,88.0,88.0
4899482,"Barbco, Inc.",,barbco,1528039,"BABBACO, INC.",babbaco,88.0,88.0
2684426,Babcock & Whcox Co,,babcockwhcox,1486957,Babcock & Wilcox Co,babcockwilcox,91.89189189189189,91.89189189189189
2684426,Babcock & Whcox Co,,babcockwhcox,1486957,BABCOCK & WILCOX CO,babcockwilcox,91.89189189189189,91.89189189189189
2684426,Babcock & Whcox Co,,babcockwhcox,1486957,Babcock & Wilcox Co,babcockwilcox,91.89189189189189,91.89189189189189
2684426,Babcock & Whcox Co,,babcockwhcox,1486957,BABCOCK & WILCOX CO,babcockwilcox,91.89189189189189,91.89189189189189
2684426,Babcock & Whcox Co,,babcockwhcox,1486957,Babcock & Wilcox Co,babcockwilcox,91.89189189189189,91.89189189189189
2684426,Babcock & Whcox Co,,babcockwhcox,1486957,BABCOCK & WILCOX CO,babcockwilcox,91.89189189189189,91.89189189189189
2684426,Babcock & Whcox Co,,babcockwhcox,1486957,Babcock & Wilcox Co,babcockwilcox,91.89189189189189,91.89189189189189
2684426,Babcock & Whcox Co,,babcockwhcox,1486957,BABCOCK & WILCOX CO,babcockwilcox,91.89189189189189,91.89189189189189
2684426,Babcock & Whcox Co,,babcockwhcox,1486957,Babcock & Wilcox Co,babcockwilcox,91.89189189189189,91.89189189189189
2684426,Babcock & Whcox Co,,babcockwhcox,1486957,BABCOCK & WILCOX CO,babcockwilcox,91.89189189189189,91.89189189189189
2684426,Babcock & Whcox Co,,babcockwhcox,1486957,Babcock & Wilcox Co,babcockwilcox,91.89189189189189,91.89189189189189
4668129,"BABCOCK, JOHN W.",,babcockjohnw,1318563,Babcock John C,babcockjohnc,86.66666666666667,86.66666666666667
4668129,"BABCOCK, JOHN W.",,babcockjohnw,1602623,BABCOCK JOHN P,babcockjohnp,86.66666666666667,86.66666666666667
2555670,Babcock William Phil,,babcockwilliamphil,1395599,BABCOCK WILLIAM,babcockwilliam,85.71428571428572,85.71428571428572
2555670,Babcock William Phil,,babcockwilliamphil,1395599,Babcock William,babcockwilliam,85.71428571428572,85.71428571428572
2555670,Babcock William Phil,,babcockwilliamphil,1395599,BABCOCK WILLIAM,babcockwilliam,85.71428571428572,85.71428571428572
2555670,Babcock William Phil,,babcockwilliamphil,1395599,Babcock William,babcockwilliam,85.71428571428572,85.71428571428572
2555670,Babcock William Phil,,babcockwilliamphil,1395599,BABCOCK WILLIAM,babcockwilliam,85.71428571428572,85.71428571428572
2555670,Babcock William Phil,,babcockwilliamphil,1395599,Babcock William,babcockwilliam,85.71428571428572,85.71428571428572
2555670,Babcock William Phil,,babcockwilliamphil,1395599,BABCOCK WILLIAM,babcockwilliam,85.71428571428572,85.71428571428572
2555670,Babcock William Phil,,babcockwilliamphil,1395599,Babcock William,babcockwilliam,85.71428571428572,85.71428571428572
2555670,Babcock William Phil,,babcockwilliamphil,1395599,BABCOCK WILLIAM,babcockwilliam,85.71428571428572,85.71428571428572
2555670,Babcock William Phil,,babcockwilliamphil,1395599,Babcock William,babcockwilliam,85.71428571428572,85.71428571428572
3181974,BARB Inc,,barb,1059272,BABE INC,babe,87.5,87.5
1681086,Bell Thomas,,bellthomas,1239908,BABEL THOMAS,babelthomas,86.95652173913044,86.95652173913044
1846830,Baseler Wolfgang,,baselerwolfgang,1427485,Babel Wolfgang,babelwolfgang,86.66666666666667,86.66666666666667
1810117,Babiarz Joseph,,babiarzjoseph,1546128,BABIAK JOSEPH,babiakjoseph,88.88888888888889,88.88888888888889
4467863,"Bisco Products, Inc.",,biscoproducts,1511695,"Babicino Products, Inc.",babicinoproducts,88.37209302325581,88.37209302325581
2500508,Bachin Peter,,bachinpeter,1241412,BABIN PETER,babinpeter,86.95652173913044,86.95652173913044
2681514,Blaine Martin,,blainemartin,1596741,Babinec Martin,babinecmartin,88.88888888888889,88.88888888888889
1600572,Bauer Martin,,bauermartin,1435618,Babler Martin,bablermartin,88.0,88.0
1600572,Bauer Martin,,bauermartin,1435618,BABLER MARTIN,bablermartin,88.0,88.0
1600572,Bauer Martin,,bauermartin,1435618,Babler Martin,bablermartin,88.0,88.0
1834569,Babor James,,baborjames,1167493,BABO JAMES B,babojamesb,86.95652173913044,86.95652173913044
5588588,B&B Partnership,,bbpartnership,1563637,BABS PARTNERSHIP,babspartnership,90.32258064516128,90.32258064516128
5152501,"Bray International, Inc.",,brayinternational,1434388,"Baby Fox International, Inc.",babyfoxinternational,88.46153846153845,88.46153846153845
5152501,"Bray International, Inc.",,brayinternational,1434388,"BABY FOX INTERNATIONAL, INC.",babyfoxinternational,88.46153846153845,88.46153846153845
5152501,"Bray International, Inc.",,brayinternational,1434388,"Baby Fox International, Inc.",babyfoxinternational,88.46153846153845,88.46153846153845
5152501,"Bray International, Inc.",,brayinternational,1434388,"BABY FOX INTERNATIONAL, INC.",babyfoxinternational,88.46153846153845,88.46153846153845
5152501,"Bray International, Inc.",,brayinternational,1434388,"Baby Fox International, Inc.",babyfoxinternational,88.46153846153845,88.46153846153845
5152501,"Bray International, Inc.",,brayinternational,1434388,"BABY FOX INTERNATIONAL, INC.",babyfoxinternational,88.46153846153845,88.46153846153845
2818749,Bayko Steve,,baykosteve,1265176,BABYK STEVE,babyksteve,90.9090909090909,90.9090909090909
5291623,BABYSTAR INC.,,babystar,806842,BABYSTAR INC,babystar,96.0,96.0
5291623,BABYSTAR INC.,,babystar,806842,BABYSTAR INC,babystar,96.0,96.0
5291623,BABYSTAR INC.,,babystar,1046230,BABYSTAR INC,babystar,96.0,96.0
5387434,Bat Technologies Inc.,,battechnologies,1411245,BABYTOOTH TECHNOLOGIES INC,babytoothtechnologies,85.1063829787234,85.1063829787234
4230012,"Bach Laboratories, Inc.",,bachlaboratories,1471363,"BACCH Laboratories, Inc.",bacchlaboratories,97.87234042553192,97.87234042553192
