patnum,assignee,pgpub_id,assignee_cleaned,cik,company_name,Cleaned_company_name,Score,Score
1848315,Cage James,,cagejames,1551315,Cable James,cablejames,85.71428571428572,85.71428571428572
3109086,Cole Michael,,colemichael,1292528,Cable Michael,cablemichael,88.0,88.0
6066265,"CALIENT NETWORKS, INC.",,calientnetworks,1650251,"Cable Network, Inc.",cablenetwork,87.8048780487805,87.8048780487805
4890102,"Cabletron, Inc.",,cabletron,1632127,"Cable One, Inc.",cableone,86.66666666666667,86.66666666666667
3238743,CABLE ISOLATION SYSTEMS Inc,,cableisolationsystems,1013273,CABLE SAT SYSTEMS INC,cablesatsystems,87.5,87.5
4734764,"CABLE SHARE INTERNATIONAL, INC.",,cableshareinternational,1051242,CABLESHARE INTERNATIONAL INC,cableshareinternational,94.91525423728814,94.91525423728814
5007861,CABLETEL COMMUNICATIONS CORP.,,cabletelcommunications,925601,CABLETEL COMMUNICATIONS CORP,cabletelcommunications,98.24561403508771,98.24561403508771
5894517,Cabletron Systems Inc.,,cabletronsystems,846909,CABLETRON SYSTEMS INC,cabletronsystems,97.67441860465115,97.67441860465115
5408941,"CB ACQUISITION, LLC",,cbacquisition,1259496,CABOT ACQUISITONS LLC,cabotacquisitons,85.0,85.0
1728046,Cabot Corp,,cabot,16040,CABOT CORP,cabot,100.0,100.0
5457951,CABOT LNG LLC,,cabotlng,1389627,CABOT LANE LLC,cabotlane,88.88888888888889,88.88888888888889
4954142,CABOT MICROELECTRONICS CORPORATION,,cabotmicroelectronics,1102934,CABOT MICROELECTRONICS CORP,cabotmicroelectronics,88.52459016393442,88.52459016393442
5846316,CSA RESEARCH LLC,,csaresearch,1558026,CABOT RESEARCH LLC,cabotresearch,88.23529411764706,88.23529411764706
2359746,Cabot Samuel,,cabotsamuel,1247454,CABOT SAMUEL III,cabotsamueliii,85.71428571428572,85.71428571428572
1654529,CABLE CORP,,cable,724267,CABRE CORP,cabre,90.0,90.0
1988782,Canepa Christopher,,canepachristopher,1265646,CABRERA CHRISTOPHER,cabrerachristopher,86.48648648648648,86.48648648648648
5978567,"CSC HOLDINGS, LLC",,csc,1502516,"CACAO HOLDINGS, LLC",cacao,88.88888888888889,88.88888888888889
5897288,Cascade (Canada) Ltd.,,cascadecanada,1550840,CACEIS (Canada) Ltd,caceiscanada,85.0,85.0
5897288,Cascade (Canada) Ltd.,,cascadecanada,1550840,CACEIS (CANADA) LTD,caceiscanada,85.0,85.0
5897288,Cascade (Canada) Ltd.,,cascadecanada,1550840,CACEIS (Canada) Ltd,caceiscanada,85.0,85.0
5911937,"CRATOS CAPITAL MANAGEMENT, LLC",,cratoscapitalmanagement,1395949,CACH CAPITAL MANAGEMENT LLC,cachcapitalmanagement,87.71929824561404,87.71929824561404
6106368,"CCS HOLDINGS, INC.",,ccs,1472214,"Cache Holdings, Inc.",cache,89.47368421052632,89.47368421052632
2846386,CAE Inc,,cae,350199,CACHE INC,cache,87.5,87.5
6128701,"Cache Flow, Inc.",,cacheflow,1095600,CACHEFLOW INC,cacheflow,89.65517241379311,89.65517241379311
4332927,"CasChem, Inc.",,caschem,1638291,"Cachemunk, Inc.",cachemunk,85.71428571428572,85.71428571428572
4313081,"Caci, Inc. - Federal",,cacifederal,1526263,"CACI, INC.-FEDERAL",cacifederal,94.73684210526316,94.73684210526316
5660389,"Cygnus Ventures, Inc.",,cygnusventures,1388320,"CACTUS VENTURES, INC.",cactusventures,85.71428571428572,85.71428571428572
5660389,"Cygnus Ventures, Inc.",,cygnusventures,1388320,"Cactus Ventures, Inc.",cactusventures,85.71428571428572,85.71428571428572
5660389,"Cygnus Ventures, Inc.",,cygnusventures,1388320,"CACTUS VENTURES, INC.",cactusventures,85.71428571428572,85.71428571428572
5660389,"Cygnus Ventures, Inc.",,cygnusventures,1388320,"Cactus Ventures, Inc.",cactusventures,85.71428571428572,85.71428571428572
5660389,"Cygnus Ventures, Inc.",,cygnusventures,1388320,"CACTUS VENTURES, INC.",cactusventures,85.71428571428572,85.71428571428572
5660389,"Cygnus Ventures, Inc.",,cygnusventures,1388320,"Cactus Ventures, Inc.",cactusventures,85.71428571428572,85.71428571428572
5660389,"Cygnus Ventures, Inc.",,cygnusventures,1388320,"CACTUS VENTURES, INC.",cactusventures,85.71428571428572,85.71428571428572
5660389,"Cygnus Ventures, Inc.",,cygnusventures,1388320,"Cactus Ventures, Inc.",cactusventures,85.71428571428572,85.71428571428572
5660389,"Cygnus Ventures, Inc.",,cygnusventures,1388320,"CACTUS VENTURES, INC.",cactusventures,85.71428571428572,85.71428571428572
5660389,"Cygnus Ventures, Inc.",,cygnusventures,1388320,"Cactus Ventures, Inc.",cactusventures,85.71428571428572,85.71428571428572
5660389,"Cygnus Ventures, Inc.",,cygnusventures,1388320,"CACTUS VENTURES, INC.",cactusventures,85.71428571428572,85.71428571428572
5575105,"Cats, Inc.",,cats,1699136,"Cactus, Inc.",cactus,90.9090909090909,90.9090909090909
5037584,CADBURY BEVERAGES INC.,,cadburybeverages,913260,CADBURY BEVERAGES INC,cadburybeverages,97.67441860465115,97.67441860465115
4520950,Cadbury Schweppes Public Limited Company,,cadburyschweppespublic,744473,CADBURY SCHWEPPES PUBLIC LTD CO,cadburyschweppespublic,87.32394366197182,87.32394366197182
4808330,"CHAMPION CONSULTING GROUP, INC.",,championconsultinggroup,1456117,"Caddis Consulting Group, Inc.",caddisconsultinggroup,86.66666666666667,86.66666666666667
2612885,Cox Enterprises Inc,,coxenterprises,1094373,CADDO ENTERPRISES INC,caddoenterprises,90.0,90.0
4832703,"Caldo International, Inc.",,caldointernational,77864,"CADDO INTERNATIONAL, INC.",caddointernational,96.0,96.0
2471195,Claude J Christopher,,claudejchristopher,1355209,CADE CHRISTOPHER,cadechristopher,88.88888888888889,88.88888888888889
2471195,Claude J Christopher,,claudejchristopher,1355209,Cade Christopher,cadechristopher,88.88888888888889,88.88888888888889
2471195,Claude J Christopher,,claudejchristopher,1355209,CADE CHRISTOPHER,cadechristopher,88.88888888888889,88.88888888888889
2471195,Claude J Christopher,,claudejchristopher,1355209,Cade Christopher,cadechristopher,88.88888888888889,88.88888888888889
5613759,"CES GROUP, LLC",,cesgroup,1501020,"Cade Group,LLC",cadegroupllc,85.71428571428572,85.71428571428572
3621573,Carder Industries Inc,,carderindustries,356211,CADE INDUSTRIES INC,cadeindustries,95.0,95.0
3621573,Carder Industries Inc,,carderindustries,835620,CADE INDUSTRIES INC,cadeindustries,95.0,95.0
2799496,CADM CORP,,cadm,318951,CADEMA CORP,cadema,90.0,90.0
4787976,"CIRCE BIOMEDICAL, INC.",,circebiomedical,1533465,"CADENCE BIOMEDICAL, INC.",cadencebiomedical,86.95652173913044,86.95652173913044
4787976,"CIRCE BIOMEDICAL, INC.",,circebiomedical,1533465,"Cadence Biomedical, Inc.",cadencebiomedical,86.95652173913044,86.95652173913044
4914612,"CADENCE DESIGN SYSTEMS, INC.",,cadencedesignsystems,813672,CADENCE DESIGN SYSTEMS INC,cadencedesignsystems,96.2962962962963,96.2962962962963
4914612,"CADENCE DESIGN SYSTEMS, INC.",,cadencedesignsystems,813672,CADENCE DESIGN SYSTEMS INC,cadencedesignsystems,96.2962962962963,96.2962962962963
4914612,"CADENCE DESIGN SYSTEMS, INC.",,cadencedesignsystems,912183,CADENCE DESIGN SYSTEMS INC,cadencedesignsystems,96.2962962962963,96.2962962962963
5298657,"CAMBRIDGE NEUROSCIENCE, INC.",,cambridgeneuroscience,1712390,"Cadence Neuroscience, Inc.",cadenceneuroscience,85.18518518518519,85.18518518518519
5298657,"CENES PHARMACEUTICALS, INC.",,cenespharmaceuticals,1333248,CADENCE PHARMACEUTICALS INC,cadencepharmaceuticals,88.88888888888889,88.88888888888889
